v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v6_5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31_1,v31_2,v31_3,v32_1,v32_2,v32_3,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,wei,wei2,area1,area2,area3,area4,area5,area6,area7
13,604,99,1,1,1,2,3,4,99,1,3,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,97,1,1,1,2,1,2,1,99,99,2,1,99,3,9,5,2,4,4,21,99,999,99,99,3,2,1.9882,1.0541004985,5,3,4,3,3,9,5
7,268,101,1,1,1,2,3,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,97,2,1,2,2,2,2,1,99,99,6,1,99,3,8,5,2,4,4,21,99,999,99,99,4,1,1.3816,.6680005382,5,1,2,3,3,9,3
3,320,98,2,1,1,99,99,99,99,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,97,2,1,2,2,2,2,97,99,99,6,1,99,3,7,5,2,4,4,21,99,999,99,99,3,1,2.0267,2.9823006127,1,0,1,3,1,3,3
2,100,89,3,1,1,2,3,99,99,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,1,2,99,2,1,99,3,7,8,99,4,7,21,99,999,99,99,4,1,1.4634,2.3530006161,1,0,1,3,2,1,1
6,804,101,1,1,1,2,3,99,99,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,1,2,2,1,1,99,99,6,1,99,3,10,5,2,4,3,21,99,999,99,99,3,2,6.4408,11.4067007145,1,0,1,3,3,9,2
12,640,99,1,1,1,2,3,4,99,1,2,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,97,2,1,1,2,2,1,1,2,99,2,1,99,1,10,5,2,2,4,21,99,999,99,99,3,1,2.4025,1.714200893,3,2,2,3,3,9,3
20,601,101,1,1,2,3,99,99,99,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,99,99,2,1,99,2,9,9,2,4,3,21,99,999,99,99,3,1,2.5394,.7141009381,2,3,1,3,3,9,2
7,265,101,1,1,1,2,3,4,5,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,99,99,2,1,99,2,7,5,2,4,4,21,99,999,99,99,3,2,1.2148,.5874010362,4,1,1,3,3,9,2
2,116,92,3,1,1,2,3,99,99,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,1,99,99,6,1,99,3,10,9,99,4,7,21,99,999,99,99,3,1,.8586,1.3805014514,1,0,1,3,2,1,2
6,813,96,2,1,1,2,3,99,99,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,2,97,2,1,1,2,1,2,1,2,99,2,1,99,2,8,7,2,2,5,21,99,999,99,99,3,1,1.3406,2.374201475,1,0,1,3,3,9,2
18,206,63,6,1,2,3,1,99,99,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,99,99,2,1,99,3,6,6,99,4,3,22,99,999,99,99,3,2,.7968,.3146003362,2,1,2,3,3,9,3
6,811,66,5,1,1,2,3,4,99,1,3,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,2,9,6,99,1,5,22,99,999,99,99,3,1,.9019,1.5973014371,1,0,1,3,3,9,3
4,436,37,8,1,1,2,3,99,99,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,97,2,1,1,2,2,2,1,2,99,3,1,99,3,6,6,99,1,5,23,99,999,99,99,3,1,.8263,1.5011000372,1,0,2,3,3,9,3
8,303,55,6,1,1,2,3,4,99,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,97,2,2,2,2,2,2,97,99,99,3,1,6,3,9,5,99,4,4,23,99,999,99,99,3,1,.5951,.3642000411,5,1,1,3,1,4,4
21,891,52,7,1,1,2,4,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,99,99,3,1,99,2,5,5,99,4,6,23,99,999,99,99,3,1,.9868,.1567000828,4,5,2,3,3,9,8
16,973,50,7,1,1,2,3,99,99,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,5,5,99,4,5,23,99,999,99,99,4,1,.6484,.21880013,5,4,2,2,1,2,2
12,630,52,7,1,1,2,3,99,99,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,99,7,1,6,3,10,8,99,4,5,23,99,999,99,99,3,2,.6365,.4541001748,4,2,2,3,3,9,5
9,356,36,8,1,1,2,3,4,99,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,99,3,1,99,1,8,8,99,4,6,23,99,999,99,99,1,1,.557,.3170001897,4,2,3,3,1,1,4
3,320,42,8,1,1,2,3,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,99,99,6,1,99,2,5,3,99,4,4,23,99,999,99,99,3,1,.7337,1.0796001991,1,0,1,3,1,3,3
9,351,27,8,1,1,99,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,97,2,1,1,2,1,2,1,99,99,2,1,99,3,8,5,99,4,6,23,99,999,99,99,1,1,.557,.3170002128,4,2,1,3,1,4,4
1,247,45,8,1,1,2,3,5,99,1,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,99,99,2,1,99,2,5,2,99,4,3,23,99,999,99,99,3,2,1.1169,2.9261002786,1,0,2,3,3,9,1
8,305,39,8,1,1,99,99,99,99,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,97,2,1,2,2,2,2,1,2,99,2,1,99,1,7,6,99,4,5,23,99,999,99,99,1,1,.4386,.2684003046,4,1,2,3,1,4,4
