v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_6,v9,v10,v11,v12_1,v12_2,v13_1,v13_2,v13_3,v14_1,v14_2,v14_3,v14_4,v14_5,v15,v16,v17,v18_1,v18_2,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,wei
3,330,54,6,1,97,99,99,99,1,2,99,99,99,99,99,5,5,5,1,2,1,2,99,2,3,99,99,99,1,2,2,99,99,999,2,2,2,1,0,0,1,2,2,2,1,2,4,5,1,.997706
10,528,94,2,1,1,4,99,99,1,4,99,99,99,99,99,3,5,5,2,99,3,99,99,2,3,99,99,99,1,2,2,99,99,999,2,4,8,6,3,8,6,5,98,5,5,10,4,5,2,1.355772
19,316,70,5,1,4,99,99,99,1,4,99,99,99,99,99,7,9,7,1,2,1,2,99,2,3,99,99,99,1,2,2,99,99,999,1,7,8,8,7,8,7,8,8,6,7,9,4,8,2,.848503
1,241,48,8,1,97,99,99,99,1,4,1,99,99,99,99,8,8,5,1,2,1,2,3,2,99,99,99,99,1,2,2,99,99,999,2,5,8,98,5,2,5,2,5,5,5,5,4,5,2,.680277
7,262,85,3,1,4,99,99,99,1,4,1,99,99,99,99,10,10,10,1,2,2,3,99,2,99,99,99,99,1,1,2,99,99,999,2,8,10,8,10,10,10,10,10,10,10,10,4,7,2,1.392824
4,404,90,3,1,1,4,99,99,1,1,2,4,5,99,99,7,7,6,1,2,1,2,3,2,3,99,99,99,2,2,2,99,99,999,2,6,8,9,6,8,8,9,9,7,8,10,4,7,2,1.30647
1,236,75,4,1,97,99,99,99,1,4,99,99,99,99,99,7,7,8,2,99,97,99,99,2,99,99,99,99,1,2,2,99,99,999,2,0,9,8,5,10,5,7,7,3,10,10,4,7,2,1.04671
2,115,73,5,1,4,99,99,99,1,4,99,99,99,99,99,7,5,7,2,99,3,99,99,2,5,99,99,99,1,2,2,99,99,999,2,7,5,5,5,7,5,5,5,5,5,5,1,7,1,1.048005
5,702,998,5,1,4,99,99,99,1,4,99,99,99,99,99,0,0,4,2,99,3,99,99,2,3,99,99,99,1,2,1,1,99,2,1,6,8,8,8,9,8,7,9,5,6,6,4,6,1,1.106271
13,608,93,3,1,2,3,4,99,1,4,99,99,99,99,99,2,5,5,1,2,3,99,99,3,99,99,99,99,1,2,2,99,99,999,2,0,0,5,5,7,5,5,7,5,7,7,2,5,2,1.270215
